Date,Close,High,Low,Open,Volume
2021-01-04,299.7851867675781,305.5810508668915,295.78236016993344,305.4065712604458,45305900
2021-01-05,302.25653076171875,302.5279368021239,298.796488258162,298.796488258162,29323400
2021-01-06,298.069580078125,302.27592998393476,296.55762129457366,297.54620062910624,52809600
2021-01-07,305.2805480957031,306.1140511445384,300.6961925936404,300.7252675935341,30394800
2021-01-08,309.2058410644531,309.5547706636761,305.37746488866003,307.5678802824092,33955800
2021-01-11,304.73773193359375,307.4224216271821,304.0883509666924,306.24969077058125,32746400
2021-01-12,304.2532043457031,305.86206050889166,301.61696246298015,304.7765543650335,29266800
2021-01-13,306.30780029296875,307.10252654642545,303.9138608543581,304.51476370021123,22898400
2021-01-14,304.6699523925781,307.75202078235884,304.19502127671944,306.7537396531724,23500100
2021-01-15,302.25653076171875,305.41615138729,301.01594842162353,304.45664703346006,35118700
2021-01-19,306.6664733886719,307.17044985963673,303.477777373336,304.57298488357054,24537000
2021-01-20,313.7999267578125,314.74005809283494,306.7635088265503,310.28173258109655,30728100
2021-01-21,316.31005859375,317.05636614976254,313.76107163791585,315.1373276057846,25130600
2021-01-22,315.39898681640625,316.40693962385825,314.71082935358044,315.2729853210208,21609400
2021-01-25,318.0061340332031,320.1481003708012,311.51247224210186,318.78151650082356,39080600
2021-01-26,318.4714050292969,319.60538909572153,317.1435975040631,318.7234080613514,25498100
2021-01-27,309.5934753417969,316.2228410436021,307.58721175922113,316.2131690962116,55264000
2021-01-28,311.42535400390625,316.3683117096393,310.17506968107233,310.7953758677836,42836300
2021-01-29,304.8735046386719,310.843818472695,303.1289452827195,309.7389091901857,55259000
2021-02-01,312.4913635253906,313.57686934617044,306.2884224161085,308.3140590955664,35646000
2021-02-02,317.5894775390625,318.7428352724727,315.29246359905534,315.45724166575354,33930800
2021-02-03,316.32940673828125,320.0317801451322,316.2712567541162,319.66347719354394,24824500
2021-02-04,320.070556640625,320.15778162492757,316.40695941082924,317.725094855198,22350900
2021-02-05,321.15606689453125,322.16404935647347,319.3824330340786,321.02039344305297,22732000
2021-02-08,323.3077392578125,323.46281577424594,321.2045787051673,322.84253928633325,20462800
2021-02-09,323.2398986816406,324.4998546355321,322.36758962975637,322.37729115454334,17597500
2021-02-10,322.5033264160156,325.1298666378689,319.3534066238231,324.6743385925005,28068700
2021-02-11,324.2769470214844,324.68402657650824,321.8927084215484,324.03464550911383,22046100
2021-02-12,326.08941650390625,326.2541649835537,322.38704196326086,323.4337715765903,20346800
2021-02-16,325.2073059082031,327.77569523228425,324.04424717610755,326.8840129273027,27080800
2021-02-17,323.6468505859375,325.32358708605716,320.0026572861749,322.2318185532288,31360300
2021-02-18,322.2319030761719,323.58878548933046,318.24845124495755,320.06089121511815,32236200
2021-02-19,320.8265686035156,323.705111688559,319.8089141056786,323.5791101725215,39157700
2021-02-22,312.51080322265625,317.70573348811814,312.30727823258223,316.44577744580255,47256900
2021-02-23,311.5804443359375,313.2474803141957,301.4231519128497,307.2383895703323,97241900
2021-02-24,314.14874267578125,314.4588956916574,306.23031671304153,308.92470818559923,58206300
2021-02-25,303.1966857910156,314.05180431465607,301.65565187239883,311.49311597474355,110182600
2021-02-26,304.4664001464844,309.2833257791753,301.30677898554114,306.12373419605314,104739800
2021-03-01,313.6253967285156,313.9646247773267,308.149388207386,309.43841929948087,49164500
2021-03-02,308.5952453613281,314.3426309764439,308.34327186453856,314.2651074953915,48370000
