Date,Close,High,Low,Open,Volume
2021-01-04,343.3191223144531,349.5191455225328,339.6233135802176,349.38880113928235,110210800
2021-01-05,345.6837158203125,346.7729211198693,342.63025338281886,342.67681712955124,66426200
2021-01-06,347.75042724609375,350.94355285159054,343.6263959355806,344.17564365417195,107997700
2021-01-07,352.91705322265625,353.66178899148537,349.9473717579539,350.12425147477427,68766800
2021-01-08,354.9278564453125,355.14195305315735,351.05516813608017,354.3041182519428,71677200
2021-01-11,352.5353088378906,354.2947588761163,351.63230195175925,351.7533278864743,51034700
2021-01-12,352.6098327636719,353.6245473333701,350.3662785938468,352.7215686990142,52547700
2021-01-13,353.5594177246094,354.5554954734266,351.7534035637951,352.53538468344925,45303600
2021-01-14,352.32122802734375,354.80683398556437,351.9861054675014,354.3041217359534,49989100
2021-01-15,349.7518615722656,351.50199335982205,347.88999385755534,350.70140387922305,107160000
2021-01-19,352.4981689453125,353.0381265986138,350.72939994936974,352.2095816653885,51233300
2021-01-20,357.37628173828125,358.21411669110563,354.3972814506253,354.7882578373456,61836100
2021-01-21,357.7020263671875,358.36300987967786,356.7804109135132,357.93475983810305,47840100
2021-01-22,356.43603515625,357.59970272379945,355.46785578529006,355.8495421566286,52860500
2021-01-25,357.8417053222656,358.1954363497445,352.3212455515999,357.1714317593944,70402000
2021-01-26,357.2830810546875,359.20080235621367,357.0503476112028,358.79118922289314,42665300
2021-01-27,348.551025390625,354.0528491035127,346.31678932489797,353.95975001538807,123351100
2021-01-28,351.5486145019531,355.55161937828063,349.92879841681105,350.3663101277551,94198100
2021-01-29,344.5107116699219,350.6548810290884,342.83501362114134,349.6867018282273,126765100
2021-02-01,350.2452697753906,351.2785927627981,344.7993008040637,347.90861660624154,75817600
2021-02-02,355.1977844238281,356.75245638940856,350.32901877184787,353.4290158638977,64450700
2021-02-03,355.4771423339844,357.19937586145977,354.2017673399159,356.026389967423,52427100
2021-02-04,359.5173645019531,359.56389983293474,355.5888223142449,356.5104377825251,47142600
2021-02-05,360.9324035644531,361.6399224767463,359.47085881489795,361.3885805309923,48669800
2021-02-08,363.5389404296875,363.5854757523062,361.52812016129343,362.3845632844091,38365200
2021-02-09,363.29693603515625,363.89274733764177,362.2915399745202,362.7011247326708,35551100
2021-02-10,363.13861083984375,365.1866763756131,360.7368143568437,365.037723572117,59154400
2021-02-11,363.7251892089844,364.637514691375,361.29546527923713,364.2185830573535,42913300
2021-02-12,365.52191162109375,365.7639351240039,362.8501073798465,362.9245980037026,50593300
2021-02-16,365.205322265625,366.94619235443565,364.48851345953494,366.75067579926497,50972400
2021-02-17,365.2891540527344,365.540495969516,362.4404702799734,363.455213196624,52290600
2021-02-18,363.7344665527344,364.47920225148306,360.96027351668073,362.6825067811136,59712800
2021-02-19,363.0921325683594,365.27983282306974,362.64527408765895,364.9912455990278,83241000
2021-02-22,360.2994079589844,362.71052376422216,360.02942912693527,360.3273348443789,67414200
2021-02-23,360.7369079589844,362.0867735591579,353.941101443955,358.0930589330605,107284100
2021-02-24,364.71197509765625,365.1402251600415,358.66090455980543,359.6476922516517,72433900
2021-02-25,355.9239501953125,364.81438610383606,354.4810139951626,363.4459121163381,146670500
2021-02-26,354.0900573730469,358.949534192139,352.1071917346127,357.8045035066823,152701600
2021-03-01,362.6732177734375,363.92069420530373,354.28552261817083,358.95880058810565,105348800
2021-03-02,359.8432312011719,363.12942703807903,359.34051889355743,362.8966935413863,79595300
2021-03-03,355.07684326171875,360.11317098093735,354.97442575307235,359.1450201183431,119940200
2021-03-04,350.682861328125,357.47866839991167,346.1957524741158,354.89067292653556,183433000
2021-03-05,357.1341857910156,358.1861456706564,346.9032310579424,354.18311275175654,152039600
2021-03-08,355.35614013671875,360.9044990174468,355.07687129081967,358.0930884659382,123149200
2021-03-09,360.4297790527344,362.9805294738198,358.6982268004986,359.2009391846774,113633600
2021-03-10,362.6732177734375,364.3675242968636,361.36062596963234,362.7756352759854,109899400
2021-03-11,366.3504943847656,368.3240701266,364.68411439488114,365.1402914215212,86245000
2021-03-12,366.84381103515625,366.9834454384432,364.181353712992,364.9912616619042,64653600
2021-03-15,369.031494140625,369.2921544845288,364.9539992961072,367.0951358060423,73427200
2021-03-16,368.5661010742187,370.3534785306605,367.7934099075419,369.64598797533466,73722500
2021-03-17,369.82281494140625,370.6234044689322,366.13629619510306,367.28135513431295,97959300
2021-03-18,364.4420471191406,369.32013211532865,363.7624550817168,367.2348490775415,115349100
2021-03-19,363.7677307128906,365.7197518785145,361.5915342319768,364.14131823450606,113624500
2021-03-22,366.67236328125,368.05466830965446,364.2253325103038,364.2813692071272,73778600
2021-03-23,363.7862854003906,367.4848491530483,363.0017433015173,366.0371872746913,90686600
2021-03-24,361.9370422363281,366.8217830520808,361.8903544926041,365.1873129811931,97588600
2021-03-25,363.9731750488281,364.76703777153006,358.556056717537,360.4987572580339,116128600
2021-03-26,369.8386840820313,370.2402900241588,364.5243173034872,365.12205174013434,114409100
2021-03-29,369.6517333984375,370.5576979083607,366.8778031775711,368.36283249742354,108107600
2021-03-30,368.6710815429687,369.3435503732095,367.07395025683695,368.3815491232856,76262200
2021-03-31,370.1654357910156,371.7251997987825,369.21278347970974,369.2408018270159,112734200
2021-04-01,374.1629028320313,374.2189680327331,371.89333106228867,372.0988084552015,99682900
2021-04-05,379.5334167480469,380.0751429903347,376.7501649272047,376.8248710453272,91684800
2021-04-06,379.3091125488281,380.35516878606614,378.6366437530473,378.972892402385,62021000
2021-04-07,379.7481384277344,380.0937075716996,378.6834126464064,379.141055188101,55836300
2021-04-08,381.55078125,381.6068179580441,380.06575148102456,380.99973461896406,57863100
2021-04-09,384.32464599609375,384.4927845941178,381.3078992229351,381.4293215703808,61104600
2021-04-12,384.46478271484375,384.73561726762654,383.11984489042715,383.7269281507639,56704900
2021-04-13,385.6042785644531,386.2300598307341,383.97915696671816,384.36209348744165,56551000
2021-04-14,384.2872924804687,386.6315702804382,383.7455664130594,385.5761649966313,61659900
2021-04-15,388.4154968261719,388.68635987083064,386.3794207731198,386.4261085208995,60229800
2021-04-16,389.7137451171875,390.3208283501207,388.28475230611167,389.7043961665137,82037300
2021-04-19,387.799072265625,389.2280651111477,386.4728323712962,388.7797715143714,78498500
2021-04-20,384.9597473144531,387.6869614412357,383.4840383597904,386.5848684516852,81851800
2021-04-21,388.6023559570313,388.8078333795171,384.203275026025,384.3433952935989,66793000
2021-04-22,385.0530700683594,389.2653415229148,383.9883445217175,388.4341116710418,97582800
2021-04-23,389.22802734375,390.6383506535276,385.5388119647193,385.6135180559668,73209200
2021-04-26,390.0406188964844,390.61036333623,389.293443913069,389.88185775138544,52182400
2021-04-27,389.9565124511719,390.535605765326,388.8170522247635,390.33944884314224,51303100
2021-04-28,389.8444213867187,391.34814854078337,389.3774299790914,390.2273577613204,51238900
2021-04-29,392.3289184570313,392.9453506915645,388.9479043699952,392.5717631714263,78544300
2021-04-30,389.75103759765625,390.909195730544,388.8544220293682,390.05926790428015,85527000
2021-05-03,390.5917053222656,392.1234226337819,390.09669546817264,391.740486180178,68128300
2021-05-04,388.1819763183594,389.0972898402203,384.49276088924864,388.60228003315905,101591200
2021-05-05,388.3034057617187,390.05929824240366,387.7430102993665,389.82580250833166,60162200
2021-05-06,391.4042663574219,391.5350091571525,386.37008425835495,388.378142026792,74321400
2021-05-07,394.2528991699219,394.90669867070073,391.48831747234374,392.17013532299035,67733800
2021-05-10,390.348876953125,394.8319841776763,390.2274545965479,394.60783736731895,81852400
2021-05-11,386.8650817871094,387.85510146471046,382.9890581244751,385.8283743617133,116888000
2021-05-12,378.6460266113281,385.3520172707222,377.3291072473696,384.08181415543856,134811000
2021-05-13,383.1944580078125,385.1278092241434,380.1496649909566,380.1963812322004,106394000
2021-05-14,389.07861328125,389.9285412046908,385.9030768823611,385.93109523135814,82201600
